fpl_player_code,pts,minutes,avg_price,season,season_str,first_name,web_name,position,fpl_team_code,team_now,team_short_now,minutesU,xG,npxG,xA,xCS,npxCS,xDef,npxDef,xGA,npxGA,xPTS,npxPTS,xPTS_90,npxPTS_90,group,group2,color,label
9089,123,3330,4.4,2017,2017/18,Ben,Foster,1,,,,3330,0.0,0.0,0.0455644,9,9,-11.0,-10.0,48.029636999999994,47.268466999999994,25.136693200000003,25.136693200000003,0.6793700864864866,0.6793700864864866,<5.5,4.5,#1f77b4,False
9089,129,3420,4.6,2018,2018/19,Ben,Foster,1,,,,3420,0.0166965,0.0166965,0.21406890000000003,9,10,-20.0,-18.0,63.291171,59.48532299999999,16.7423857,16.7423857,0.44058909736842106,0.44058909736842106,<5.5,4.5,#1f77b4,False
10318,57,1530,5.0,2015,2015/16,Maarten,Stekelenburg,1,,,,1530,0.0,0.0,0.0363662,6,7,-3.0,-3.0,18.959941000000004,18.198774,21.1090986,21.1090986,1.2417116823529413,1.2417116823529413,<5.5,5.5,#1f77b4,False
10318,68,1683,4.8,2016,2016/17,Maarten,Stekelenburg,1,,,,1685,0.0,0.0,0.0,6,7,-6.0,-5.0,24.980761,22.697291,18.0,18.0,0.9614243323442137,0.9614243323442137,<5.5,4.5,#1f77b4,False
11974,11,228,4.0,2014,2014/15,Eldin,Jakupovic,1,,,,228,0.0,0.0,0.0,1,1,-1.0,-1.0,4.732214,4.732214,3.0,3.0,1.1842105263157894,1.1842105263157894,<5.5,4.5,#1f77b4,False
11974,86,1980,4.0,2016,2016/17,Eldin,Jakupovic,1,,,,1980,0.0,0.0,0.0,2,4,-11.0,-10.0,39.15542700000001,34.58842200000001,-3.0,-3.0,-0.13636363636363635,-0.13636363636363635,<5.5,4.5,#1f77b4,False
11974,4,180,4.4,2017,2017/18,Eldin,Jakupovic,1,,,,180,0.0,0.0,0.0,0,0,-1.0,-1.0,3.37691,3.37691,-1.0,-1.0,-0.5,-0.5,<5.5,4.5,#1f77b4,False
12745,139,2773,7.0,2014,2014/15,Leighton,Baines,2,,,,2775,2.9738172,0.6903101,6.3470417,7,9,-6.0,-5.0,38.492047,35.447373999999996,58.88402830000001,45.1829857,1.9097522691891895,1.465394130810811,5.5-7.5,7.5,#6D597A,False
12745,67,1479,6.2,2015,2015/16,Leighton,Baines,2,,,,1473,1.2093743000000001,0.4482050000000001,1.6651657,2,4,-7.0,-5.0,29.385301,25.579453000000004,13.2517429,8.6847271,0.8096787922606925,0.5306350570264765,5.5-7.5,6.5,#6D597A,False
12745,135,2819,5.6,2016,2016/17,Leighton,Baines,2,,,,2827,2.7509228,0.46741549999999993,2.685018,11,13,-11.0,-10.0,38.129215,35.845704,57.5605908,43.859547,1.8324913944110364,1.3963067668906968,5.5-7.5,5.5,#6D597A,False
12745,82,1909,5.8,2017,2017/18,Leighton,Baines,2,,,,1911,2.0704966000000002,0.5481556000000001,2.2989341999999997,7,7,-7.0,-6.0,29.300442000000007,27.778102000000008,40.3197822,31.1857362,1.89889084144427,1.4687159905808476,5.5-7.5,5.5,#6D597A,False
12745,7,374,5.2,2018,2018/19,Leighton,Baines,2,,,,375,0.0755816,0.0755816,0.08348459999999999,0,0,-2.0,-2.0,8.502552999999999,6.980213,-1.2960566,-1.2960566,-0.311053584,-0.311053584,<5.5,5.5,#1f77b4,False
13152,57,1376,4.4,2014,2014/15,Andy,King,3,,,,1366,2.0629132,2.0629132,0.1290822,3,3,-4.0,-3.0,35.272695,33.750355000000006,13.7018126,13.7018126,0.9027548565153733,0.9027548565153733,<5.5,4.5,#1f77b4,False
13152,54,1062,4.3,2015,2015/16,Andy,King,3,,,,1030,2.7156347000000003,2.7156347000000003,1.0578415,2,2,-3.0,-3.0,32.918052,30.634541,18.751698,18.751698,1.6384978834951458,1.6384978834951458,<5.5,4.5,#1f77b4,False
13152,41,1446,4.8,2016,2016/17,Andy,King,3,,,,1439,0.6111541999999999,0.6111541999999999,0.2418254,4,4,-3.0,-2.0,30.562345999999998,28.278878,7.781247199999999,7.781247199999999,0.4866659124391939,0.4866659124391939,<5.5,4.5,#1f77b4,False
13152,51,1247,4.4,2017,2017/18,Andy,King,3,,,,1285,1.6065821999999998,1.6065821999999998,0.25664780000000004,2,2,-4.0,-3.0,33.483731,31.078537000000004,10.8028544,10.8028544,0.7566201525291829,0.7566201525291829,<5.5,4.5,#1f77b4,False
15033,112,3285,4.6,2014,2014/15,Wes,Morgan,2,13.0,Leicester,LEI,3293,2.2818112999999998,2.2818112999999998,0.9166026,6,6,-14.0,-12.0,54.41514600000001,51.370464999999996,26.4406756,26.4406756,0.7226422119647737,0.7226422119647737,<5.5,4.5,#1f77b4,False
15033,139,3420,4.6,2015,2015/16,Wes,Morgan,2,13.0,Leicester,LEI,3420,3.0075037,3.0075037,0.0531146,10,12,-8.0,-7.0,45.01995400000001,41.975274000000006,50.20436599999999,50.20436599999999,1.3211675263157894,1.3211675263157894,<5.5,4.5,#1f77b4,False
15033,63,2430,4.8,2016,2016/17,Wes,Morgan,2,13.0,Leicester,LEI,2430,1.8657885,1.8657885,0.1310895,10,10,-9.0,-8.0,35.350476,33.066967999999996,42.5879995,42.5879995,1.577333314814815,1.577333314814815,<5.5,4.5,#1f77b4,False
15033,61,2817,4.4,2017,2017/18,Wes,Morgan,2,13.0,Leicester,LEI,2817,1.9279585399999999,1.9279585399999999,0.4055636999999999,8,9,-10.0,-10.0,42.651938,39.607252,34.78444234,34.78444234,1.1113240364217252,1.1113240364217252,<5.5,4.5,#1f77b4,False
15033,76,1924,4.5,2018,2018/19,Wes,Morgan,2,13.0,Leicester,LEI,1932,1.5354553,1.5354553,0.1385541,4,5,-3.0,-2.0,26.481119999999997,23.436449999999997,22.6283941,22.6283941,1.0541177375776398,1.0541177375776398,<5.5,4.5,#1f77b4,False
15033,19,430,4.3,2019,2019/20,Wes,Morgan,2,13.0,Leicester,LEI,418,0.5963817,0.5963817,0.0,1,2,0.0,0.0,10.384622,8.862317000000001,7.5782902,7.5782902,1.6316892775119616,1.6316892775119616,<5.5,4.5,#1f77b4,False
15033,19,430,4.5,2020,2020/21,Wes,Morgan,2,13.0,Leicester,LEI,418,0.5963817,0.5963817,0.0,1,2,0.0,0.0,10.384622,8.862317000000001,7.5782902,7.5782902,1.6316892775119616,1.6316892775119616,<5.5,4.5,#1f77b4,False
15149,89,3386,4.3,2015,2015/16,Simon,Francis,2,,,,3388,0.20908220000000002,0.20908220000000002,2.3881555,7,10,-14.0,-12.0,53.96870900000002,49.401696,22.418959700000002,22.418959700000002,0.5955449743211335,0.5955449743211335,<5.5,4.5,#1f77b4,False
15149,89,2938,4.5,2016,2016/17,Simon,Francis,2,,,,2945,0.1653731,0.1653731,1.5683695,5,6,-15.0,-14.0,56.565937000000005,53.521252000000004,10.697347100000002,10.697347100000002,0.3269138332767403,0.3269138332767403,<5.5,4.5,#1f77b4,False
15149,56,2708,4.4,2017,2017/18,Simon,Francis,2,,,,2706,0.4073728,0.4073728,1.6293544999999998,4,4,-15.0,-14.0,56.629106,54.345636000000006,8.3323003,8.3323003,0.2771275044345898,0.2771275044345898,<5.5,4.5,#1f77b4,False
15149,40,1227,4.4,2018,2018/19,Simon,Francis,2,,,,1220,0.1211565,0.1211565,0.6046353,3,3,-5.0,-5.0,27.161675,25.639424,9.5408449,9.5408449,0.7038328204918033,0.7038328204918033,<5.5,4.5,#1f77b4,False
15157,107,1749,5.4,2014,2014/15,James,Milner,3,14.0,Liverpool,LIV,1732,5.7220992000000015,5.7220992000000015,4.9711451,5,6,-5.0,-4.0,37.200464,34.155823000000005,48.52393130000001,48.52393130000001,2.5214513954965363,2.5214513954965363,<5.5,5.5,#1f77b4,False
15157,123,2409,6.8,2015,2015/16,James,Milner,3,14.0,Liverpool,LIV,2428,3.3984239,2.6372553999999995,5.3850053,13,15,-2.0,-2.0,24.4401479,22.917816899999995,46.1471354,42.3412929,1.710561032125206,1.569487792833608,5.5-7.5,6.5,#6D597A,False
15157,139,3154,6.4,2016,2016/17,James,Milner,3,14.0,Liverpool,LIV,3170,7.35501055,1.26565715,3.9510436999999996,17,18,-5.0,-5.0,35.974314500000006,32.9296435,65.62818385,35.18141685,1.8632607402208203,0.9988414878548895,5.5-7.5,6.5,#6D597A,False
15157,77,1759,6.2,2017,2017/18,James,Milner,3,14.0,Liverpool,LIV,1734,1.1417926999999999,1.1417926999999999,3.42146128,8,9,-4.0,-1.0,33.641707200000006,29.0747012,23.97334734,23.97334734,1.2442913844290657,1.2442913844290657,5.5-7.5,6.5,#6D597A,False
15157,101,1778,5.6,2018,2018/19,James,Milner,3,14.0,Liverpool,LIV,1775,3.3563838,1.0728765,5.641541699999999,9,9,-1.0,-1.0,23.957576,23.196407,42.7065441,31.289007599999998,2.165402236056338,1.5864848923943662,5.5-7.5,5.5,#6D597A,False
15157,49,924,5.4,2019,2019/20,James,Milner,3,14.0,Liverpool,LIV,895,2.1647368000000005,0.6423958,0.9346518,4,4,-2.0,-2.0,22.053160700000003,22.053160700000003,17.6276394,10.015934399999999,1.7726117832402233,1.0071889340782123,<5.5,5.5,#1f77b4,False
15157,49,924,5.5,2020,2020/21,James,Milner,3,14.0,Liverpool,LIV,895,2.1647368000000005,0.6423958,0.9346518,4,4,-2.0,-2.0,22.053160700000003,22.053160700000003,17.6276394,10.015934399999999,1.7726117832402233,1.0071889340782123,5.5-7.5,5.5,#6D597A,False
15237,90,3420,4.4,2015,2015/16,Andrew,Surman,3,,,,3420,0.5702397,0.5702397,1.3992543000000004,7,10,-15.0,-12.0,53.96870900000002,49.401696,14.048961400000001,14.048961400000001,0.3697095105263158,0.3697095105263158,<5.5,4.5,#1f77b4,False
15237,44,1800,4.8,2016,2016/17,Andrew,Surman,3,,,,1803,0.5123748,0.5123748,0.43586469999999994,3,3,-8.0,-8.0,36.289857000000005,34.006347,6.8694681,6.8694681,0.34290190183028285,0.34290190183028285,<5.5,4.5,#1f77b4,False
15237,82,1851,4.4,2017,2017/18,Andrew,Surman,3,,,,1842,0.9914278,0.9914278,1.5283968999999997,2,2,-8.0,-7.0,41.418099000000005,39.895759,11.5423297,11.5423297,0.563957477198697,0.563957477198697,<5.5,4.5,#1f77b4,False
15237,36,1438,4.8,2018,2018/19,Andrew,Surman,3,,,,1440,0.2738317,0.2738317,0.47865820000000003,3,4,-10.0,-10.0,33.850143,32.327892000000006,5.805133100000001,5.805133100000001,0.36282081875000005,0.36282081875000005,<5.5,4.5,#1f77b4,False
15749,142,3240,6.0,2014,2014/15,Joe,Hart,1,6.0,Spurs,TOT,3240,0.0,0.0,0.0,12,13,-7.0,-6.0,38.396105,36.873768,41.0,41.0,1.1388888888888888,1.1388888888888888,5.5-7.5,6.5,#6D597A,False
15749,134,3109,5.6,2015,2015/16,Joe,Hart,1,6.0,Spurs,TOT,3112,0.0,0.0,0.6797931,15,16,-4.0,-4.0,32.592560999999996,31.831424999999996,58.0393793,58.0393793,1.6785167535347045,1.6785167535347045,5.5-7.5,5.5,#6D597A,False
15749,59,1710,4.4,2017,2017/18,Joe,Hart,1,6.0,Spurs,TOT,1710,0.0,0.0,0.5941483000000001,5,6,-9.0,-6.0,29.709519000000004,25.807782000000007,12.782444900000002,12.782444900000002,0.6727602578947369,0.6727602578947369,<5.5,4.5,#1f77b4,False
15749,69,1710,4.4,2018,2018/19,Joe,Hart,1,6.0,Spurs,TOT,1710,0.0,0.0,0.0240713,0,0,-14.0,-13.0,38.79895,37.276650000000004,-13.9277861,-13.9277861,-0.7330413736842106,-0.7330413736842106,<5.5,4.5,#1f77b4,False
17349,62,1347,6.4,2014,2014/15,Aaron,Lennon,3,,,,1408,1.2197043,1.2197043,3.068122919999999,1,2,-1.0,-1.0,26.761249000000007,25.23891400000001,16.302890259999998,16.302890259999998,1.0420881558238635,1.0420881558238635,5.5-7.5,6.5,#6D597A,False
17349,80,1538,5.7,2015,2015/16,Aaron,Lennon,3,,,,1534,2.2260954,2.2260954,1.697951,4,4,-7.0,-6.0,38.96623299999999,35.92155799999999,20.224330000000002,20.224330000000002,1.1865643415906129,1.1865643415906129,5.5-7.5,5.5,#6D597A,False
17349,22,509,5.8,2016,2016/17,Aaron,Lennon,3,,,,511,0.2752276,0.2752276,0.5299299,1,2,-2.0,-2.0,14.650496,13.889326,3.9659277,3.9659277,0.6984999863013699,0.6984999863013699,5.5-7.5,5.5,#6D597A,False
17349,65,1906,5.4,2017,2017/18,Aaron,Lennon,3,,,,2023,0.7358439,0.7358439,1.2790756,7,8,-8.0,-8.0,44.70434000000001,42.42083300000001,14.5164463,14.5164463,0.6458132313395947,0.6458132313395947,<5.5,5.5,#1f77b4,False
17349,41,1214,5.0,2018,2018/19,Aaron,Lennon,3,,,,1223,0.9156383000000001,0.9156383000000001,0.664893,0,0,-10.0,-10.0,32.429640000000006,31.668470000000006,6.5728705000000005,6.5728705000000005,0.4836944766966476,0.4836944766966476,<5.5,5.5,#1f77b4,False
17745,83,2160,4.5,2014,2014/15,Kasper,Schmeichel,1,13.0,Leicester,LEI,2160,0.0,0.0,0.07502740000000001,4,4,-10.0,-9.0,34.839503,33.317162999999994,6.225082199999999,6.225082199999999,0.25937842499999997,0.25937842499999997,<5.5,4.5,#1f77b4,True
17745,147,3420,4.8,2015,2015/16,Kasper,Schmeichel,1,13.0,Leicester,LEI,3420,0.0,0.0,0.36992349999999996,10,12,-8.0,-7.0,45.01995400000001,41.975274000000006,33.109770499999996,33.109770499999996,0.8713097499999999,0.8713097499999999,<5.5,4.5,#1f77b4,True
17745,109,2666,5.0,2016,2016/17,Kasper,Schmeichel,1,13.0,Leicester,LEI,2668,0.0,0.0,0.0,8,8,-13.0,-11.0,43.417146,40.37250800000001,19.0,19.0,0.6409295352323838,0.6409295352323838,<5.5,5.5,#1f77b4,True
17745,123,2965,5.0,2017,2017/18,Kasper,Schmeichel,1,13.0,Leicester,LEI,2968,0.0,0.0,0.0565297,12,13,-9.0,-9.0,41.11277200000001,38.82925600000001,39.1695891,39.1695891,1.1877570818733154,1.1877570818733154,<5.5,5.5,#1f77b4,True
17745,120,3420,5.0,2018,2018/19,Kasper,Schmeichel,1,13.0,Leicester,LEI,3420,0.0807151,0.0807151,0.292976,9,10,-4.0,-3.0,44.642585,40.836749,33.3632186,33.3632186,0.8779794368421054,0.8779794368421054,<5.5,5.5,#1f77b4,True
17745,156,3420,5.2,2019,2019/20,Kasper,Schmeichel,1,13.0,Leicester,LEI,3420,0.0185577,0.0185577,0.36443369999999997,10,15,-10.0,-7.0,47.894043,40.28243399999999,31.204647299999998,31.204647299999998,0.8211749289473683,0.8211749289473683,<5.5,5.5,#1f77b4,True
17745,156,3420,5.5,2020,2020/21,Kasper,Schmeichel,1,13.0,Leicester,LEI,3420,0.0185577,0.0185577,0.36443369999999997,10,15,-10.0,-7.0,47.894043,40.28243399999999,31.204647299999998,31.204647299999998,0.8211749289473683,0.8211749289473683,5.5-7.5,5.5,#6D597A,True
17761,23,568,4.0,2016,2016/17,James,Tarkowski,2,90.0,Burnley,BUR,536,0.6106176,0.6106176,0.37224409999999997,1,1,-1.0,-1.0,25.751858000000002,23.468352,7.780437899999999,7.780437899999999,1.306416811567164,1.306416811567164,<5.5,4.5,#1f77b4,True
17761,101,2790,4.6,2017,2017/18,James,Tarkowski,2,90.0,Burnley,BUR,2790,0.8934776999999998,0.8934776999999998,1.0765656700000001,8,9,-11.0,-9.0,40.716471,38.432962999999994,29.59056321,29.59056321,0.9545342970967742,0.9545342970967742,<5.5,4.5,#1f77b4,True
17761,97,3086,4.8,2018,2018/19,James,Tarkowski,2,90.0,Burnley,BUR,3086,3.6408727000000005,3.6408727000000005,0.2017095,5,5,-19.0,-18.0,60.898105,58.614635,23.4503647,23.4503647,0.6839056458198315,0.6839056458198315,<5.5,4.5,#1f77b4,True
17761,143,3420,5.2,2019,2019/20,James,Tarkowski,2,90.0,Burnley,BUR,3420,2.6218678,2.6218678,3.5871897,5,7,-12.0,-11.0,53.83922299999998,50.018309999999985,34.4927759,34.4927759,0.9077046289473684,0.9077046289473684,<5.5,5.5,#1f77b4,True
17761,143,3420,5.5,2020,2020/21,James,Tarkowski,2,90.0,Burnley,BUR,3420,2.6218678,2.6218678,3.5871897,5,7,-12.0,-11.0,53.83922299999998,50.018309999999985,34.4927759,34.4927759,0.9077046289473684,0.9077046289473684,5.5-7.5,5.5,#6D597A,True
17997,66,2082,5.0,2014,2014/15,Phil,Bardsley,2,90.0,Burnley,BUR,2079,0.6633689699999998,0.6633689699999998,1.6116873000000003,6,6,-5.0,-2.0,29.591411,27.307930999999996,27.815275720000002,27.815275720000002,1.2041244900432901,1.2041244900432901,<5.5,5.5,#1f77b4,False
17997,20,817,4.4,2015,2015/16,Phil,Bardsley,2,90.0,Burnley,BUR,813,0.12871,0.12871,0.6606274000000001,2,3,-5.0,-4.0,19.006127000000003,17.483789,5.7541422,5.7541422,0.6369899114391144,0.6369899114391144,<5.5,4.5,#1f77b4,False
17997,27,1168,4.4,2016,2016/17,Phil,Bardsley,2,90.0,Burnley,BUR,1177,0.20935890000000004,0.20935890000000004,1.0495596999999999,3,3,-6.0,-4.0,21.212293000000003,19.689953000000003,10.404832500000001,10.404832500000001,0.795611661002549,0.795611661002549,<5.5,4.5,#1f77b4,False
17997,33,1125,4.2,2017,2017/18,Phil,Bardsley,2,90.0,Burnley,BUR,1130,0.02899429,0.02899429,0.2951515,1,2,-5.0,-4.0,19.987431,17.703924,0.05942023999999968,0.05942023999999968,0.004732585486725638,0.004732585486725638,<5.5,4.5,#1f77b4,False
17997,33,1670,4.4,2018,2018/19,Phil,Bardsley,2,90.0,Burnley,BUR,1677,0.2524324,0.2524324,1.2935341999999999,5,5,-9.0,-9.0,30.171408000000003,28.649068000000003,16.395197,16.395197,0.8798853488372094,0.8798853488372094,<5.5,4.5,#1f77b4,False
17997,78,1890,4.4,2019,2019/20,Phil,Bardsley,2,90.0,Burnley,BUR,1890,0.29097770000000006,0.29097770000000006,1.5795671,4,5,-7.0,-6.0,28.573166,27.035763,15.4845675,15.4845675,0.7373603571428571,0.7373603571428571,<5.5,4.5,#1f77b4,False
17997,78,1890,4.5,2020,2020/21,Phil,Bardsley,2,90.0,Burnley,BUR,1890,0.29097770000000006,0.29097770000000006,1.5795671,4,5,-7.0,-6.0,28.573166,27.035763,15.4845675,15.4845675,0.7373603571428571,0.7373603571428571,<5.5,4.5,#1f77b4,False
18073,89,2302,5.4,2014,2014/15,Mark,Noble,3,21.0,West Ham,WHU,2321,2.4249141,0.9025766999999999,3.0953232,8,8,-12.0,-9.0,43.969744,41.533773999999994,29.410540100000002,21.798853100000002,1.14043455794916,0.8452808181818183,<5.5,5.5,#1f77b4,False
18073,133,3196,5.6,2015,2015/16,Mark,Noble,3,21.0,West Ham,WHU,3221,3.8795131,1.5960078000000002,3.2432396,6,8,-12.0,-9.0,54.612351999999994,48.523006,35.1272843,23.709757800000002,0.9815136873641725,0.6624893517541137,5.5-7.5,5.5,#6D597A,False
18073,71,2389,6.4,2016,2016/17,Mark,Noble,3,21.0,West Ham,WHU,2422,3.6519653000000005,2.1296242999999997,1.4297508,3,5,-10.0,-8.0,46.296491,40.96830899999999,25.549078900000005,17.937373899999997,0.9493877378199836,0.6665415569777043,5.5-7.5,6.5,#6D597A,False
18073,84,2400,5.4,2017,2017/18,Mark,Noble,3,21.0,West Ham,WHU,2411,2.2789487000000004,0.7566107000000002,1.8096712000000001,6,7,-12.0,-10.0,45.131649,42.086972,22.8237571,15.212067100000002,0.8519859556200747,0.5678498710078806,<5.5,5.5,#1f77b4,False
18073,99,2289,4.9,2018,2018/19,Mark,Noble,3,21.0,West Ham,WHU,2339,3.59021595,0.54561395,1.7227647,2,2,-10.0,-8.0,51.30029900000001,48.255629,25.119373850000002,9.89636385,0.9665428159469859,0.3807921105173151,<5.5,4.5,#1f77b4,False
18073,105,2675,5.0,2019,2019/20,Mark,Noble,3,21.0,West Ham,WHU,2709,2.7738264299999997,0.49031942999999995,3.1814725999999998,2,2,-16.0,-15.0,57.482451999999995,55.198941999999995,25.413549949999997,13.99601495,0.8443039850498338,0.4649838853820598,<5.5,5.5,#1f77b4,False
18073,105,2675,5.0,2020,2020/21,Mark,Noble,3,21.0,West Ham,WHU,2709,2.7738264299999997,0.49031942999999995,3.1814725999999998,2,2,-16.0,-15.0,57.482451999999995,55.198941999999995,25.413549949999997,13.99601495,0.8443039850498338,0.4649838853820598,<5.5,5.5,#1f77b4,False
18656,157,3396,4.8,2015,2015/16,Heurelho da Silva,Gomes,1,,,,3398,0.0,0.0,0.0,11,12,-11.0,-7.0,51.85150100000001,45.744509,33.0,33.0,0.874043555032372,0.874043555032372,<5.5,4.5,#1f77b4,False
18656,113,3337,5.0,2016,2016/17,Heurelho da Silva,Gomes,1,,,,3339,0.0,0.0,0.0404192,9,11,-7.0,-6.0,52.618013999999995,49.57333699999998,29.1212576,29.1212576,0.7849395579514825,0.7849395579514825,<5.5,5.5,#1f77b4,False
18656,64,2128,4.4,2017,2017/18,Heurelho da Silva,Gomes,1,,,,2130,0.0,0.0,0.0,3,3,-9.0,-6.0,36.390467,33.345787,3.0,3.0,0.1267605633802817,0.1267605633802817,<5.5,4.5,#1f77b4,False
18665,53,1949,4.3,2015,2015/16,Alexander,Tettey,3,,,,1956,0.6745797000000001,0.6745797000000001,0.10933633999999999,5,5,-11.0,-8.0,39.206081,33.877921,8.700907520000001,8.700907520000001,0.40034850552147244,0.40034850552147244,<5.5,4.5,#1f77b4,False
18726,108,2880,4.5,2015,2015/16,Artur,Boruc,1,,,,2880,0.0,0.0,0.0938415,5,8,-11.0,-9.0,43.256545,39.45070200000001,9.2815245,9.2815245,0.290047640625,0.290047640625,<5.5,4.5,#1f77b4,False
18726,120,3150,4.5,2016,2016/17,Artur,Boruc,1,,,,3150,0.0,0.0,0.0229061,5,6,-16.0,-15.0,56.06531700000001,53.02063400000001,4.0687183000000005,4.0687183000000005,0.1162490942857143,0.1162490942857143,<5.5,4.5,#1f77b4,False
18726,46,1080,4.0,2018,2018/19,Artur,Boruc,1,,,,1080,0.0,0.0,0.0,3,4,-5.0,-5.0,19.663364,17.379866,7.0,7.0,0.5833333333333334,0.5833333333333334,<5.5,4.5,#1f77b4,False
18867,57,1037,5.6,2019,2019/20,Billy,Sharp,4,49.0,Sheffield Utd,SHU,1045,4.1389538,4.1389538,3.0103288999999998,2,2,-3.0,-2.0,35.86363799999999,34.34129499999999,25.5868019,25.5868019,2.2036480105263156,2.2036480105263156,5.5-7.5,5.5,#6D597A,False
18867,57,1037,6.0,2020,2020/21,Billy,Sharp,4,49.0,Sheffield Utd,SHU,1045,4.1389538,4.1389538,3.0103288999999998,2,2,-3.0,-2.0,35.86363799999999,34.34129499999999,25.5868019,25.5868019,2.2036480105263156,2.2036480105263156,5.5-7.5,6.5,#6D597A,False
18892,89,2065,5.3,2014,2014/15,Ashley,Young,2,,,,2076,2.507619,2.507619,4.1162799,9,10,-4.0,-4.0,24.185125000000003,23.423990000000003,59.3945537,59.3945537,2.5749083973988443,2.5749083973988443,<5.5,5.5,#1f77b4,False
18892,40,1065,5.8,2015,2015/16,Ashley,Young,2,,,,1053,0.8914632,0.8914632,1.4585476000000002,4,5,-2.0,-1.0,18.020353000000004,16.498015000000002,23.724422,23.724422,2.027728376068376,2.027728376068376,5.5-7.5,5.5,#6D597A,False
18892,26,760,5.2,2016,2016/17,Ashley,Young,2,,,,757,0.25422029999999995,0.25422029999999995,0.8711635,6,6,0.0,0.0,7.85375,7.092585,28.138812299999998,28.138812299999998,3.345433430647292,3.345433430647292,<5.5,5.5,#1f77b4,False
18892,98,2444,4.9,2017,2017/18,Ashley,Young,2,,,,2451,0.7093265000000001,0.7093265000000001,3.7513702,8,9,-8.0,-8.0,36.410545,35.649375,39.5100696,39.5100696,1.4507981493268056,1.4507981493268056,<5.5,4.5,#1f77b4,False
18892,73,2568,5.8,2018,2018/19,Ashley,Young,2,,,,2565,0.49426380000000003,0.49426380000000003,3.9991637000000004,7,9,-8.0,-6.0,40.49650200000001,35.929494000000005,34.9630739,34.9630739,1.2267745228070175,1.2267745228070175,5.5-7.5,5.5,#6D597A,False
18987,1,39,5.8,2014,2014/15,Robert,Snodgrass,3,21.0,West Ham,WHU,39,0.0,0.0,0.0,0,0,0.0,0.0,1.90067,1.12689,0.0,0.0,0.0,0.0,5.5-7.5,5.5,#6D597A,False
18987,133,2548,5.5,2016,2016/17,Robert,Snodgrass,3,21.0,West Ham,WHU,2722,4.738416099999999,3.2160781000000003,4.6694917,2,5,-13.0,-9.0,66.31631699999998,55.65996399999999,39.700555599999994,32.0888656,1.3126561366642173,1.0609838001469507,5.5-7.5,5.5,#6D597A,False
18987,85,2215,5.2,2018,2018/19,Robert,Snodgrass,3,21.0,West Ham,WHU,2230,2.2604664000000003,2.2604664000000003,5.175442599999999,1,1,-9.0,-6.0,54.843457000000015,51.798787000000004,27.828659799999997,27.828659799999997,1.1231297677130043,1.1231297677130043,<5.5,5.5,#1f77b4,False
